country,stateprov,county,determination,release_date,status_season
CAN,Quebec,Matane,WNS Positive,03/24/2021,2013-14
CAN,New Brunswick,Saint John County,WNS Positive,03/24/2021,2010-11
CAN,Ontario,Cochrane District (Part 1 Of),WNS Positive,03/24/2021,2010-11
CAN,Ontario,Nipissing District (Part 1 Of),WNS Positive,03/24/2021,2010-11
CAN,Quebec,La Vallee-De-L'Or (Part 1 Of),WNS Positive,03/24/2021,2010-11
CAN,Ontario,Algoma Dist. (Part 1 Of),WNS Positive,03/24/2021,2010-11
CAN,Ontario,Thunder Bay District (Part 2 Of),WNS Suspect,03/24/2021,2014-15
CAN,Ontario,Algoma Dist. (Part 2 Of),WNS Positive,03/24/2021,2011-12
CAN,Nova Scotia,Victoria County,WNS Positive,03/24/2021,2015-16
CAN,New Brunswick,Westmorland County,WNS Positive,03/24/2021,2011-12
CAN,Newfoundland,Census div 5 Humber,WNS Positive,03/24/2021,2017-18
CAN,Nova Scotia,Inverness County,WNS Positive,03/24/2021,2013-14
CAN,Nova Scotia,Richmond County,WNS Positive,03/24/2021,2013-14
CAN,New Brunswick,Kent County,WNS Positive,03/24/2021,2013-14
CAN,Nova Scotia,Cumberland County,WNS Positive,03/24/2021,2011-12
CAN,Prince Edward,Queens County,WNS Positive,03/24/2021,2012-13
CAN,Ontario,Simcoe County,WNS Positive,03/24/2021,2010-11
CAN,Quebec,Nord-Du-Quebec (Part 2 Of),WNS Positive,03/24/2021,2012-13
CAN,Quebec,Nord-Du-Quebec (Part 1 Of),WNS Positive,03/24/2021,2010-11
CAN,Ontario,Waterloo,WNS Suspect,03/24/2021,2016-17
USA,Louisiana,Natchitoches,Pd Positive,03/14/2022,2020-21
USA,California,Plumas,Pd Presumed,06/04/2020,2018-19
USA,Michigan,Lake,WNS Positive,6/30/17,2016-17
USA,Michigan,Grand Traverse,Pd Positive,8/7/17,2016-17
USA,Michigan,Emmet,Pd Positive,8/7/17,2016-17
USA,Michigan,Baraga,WNS Positive,4/24/17,2016-17
USA,Missouri,Douglas,WNS Suspect,3/15/17,2016-17
USA,South Carolina,Laurens,Pd Positive,4/24/17,2016-17
USA,South Carolina,Union,Pd Positive,4/17/17,2016-17
USA,South Carolina,Lancaster,Pd Positive,4/17/17,2016-17
USA,South Carolina,York,Pd Positive,3/14/18,2017-18
USA,South Carolina,Cherokee,Pd Positive,3/14/18,2017-18
USA,South Carolina,Spartanburg,Pd Positive,3/14/18,2017-18
USA,South Carolina,Greenville,Pd Positive,4/17/17,2016-17
USA,Wisconsin,Washington,Pd Positive,5/9/17,2016-17
USA,Wisconsin,Columbia,WNS Suspect,5/9/17,2016-17
USA,Wisconsin,Calumet,Pd Positive,5/9/17,2016-17
USA,Wisconsin,Vernon,WNS Positive,5/9/17,2016-17
USA,Wisconsin,La Crosse,WNS Positive,5/9/17,2016-17
USA,Wisconsin,Monroe,Pd Positive,5/9/17,2016-17
USA,Wisconsin,Juneau,Pd Positive,5/9/17,2016-17
USA,Wisconsin,Jackson,WNS Positive,5/9/17,2016-17
USA,Wisconsin,Pepin,Pd Positive,4/3/18,2017-18
USA,Wisconsin,St. Croix,WNS Positive,5/9/17,2016-17
USA,Wisconsin,Polk,Pd Positive,5/9/17,2016-17
USA,Wisconsin,Dodge,WNS Positive,5/9/17,2016-17
USA,Wisconsin,Sauk,WNS Positive,5/9/17,2016-17
USA,Alabama,Blount,Pd Positive,6/19/17,2016-17
USA,Alabama,Madison,Pd Positive,6/19/17,2016-17
USA,Alabama,Bibb,Pd Positive,3/22/17,2016-17
USA,Alabama,Shelby,WNS Positive,3/22/17,2016-17
USA,Minnesota,Winona,WNS Positive,10/1/18,2017-18
USA,Minnesota,Olmsted,WNS Positive,11/12/17,2017-18
USA,Minnesota,Wabasha,WNS Positive,10/1/18,2017-18
USA,Minnesota,Fillmore,Pd Positive,3/22/17,2016-17
USA,Minnesota,Dakota,Pd Positive,3/22/17,2016-17
USA,Minnesota,Ramsey,WNS Positive,11/12/17,2017-18
USA,Minnesota,Hennepin,Pd Positive,11/12/17,2017-18
USA,Minnesota,Washington,WNS Positive,3/22/17,2016-17
USA,Minnesota,Pine,WNS Positive,11/12/17,2017-18
USA,Minnesota,Becker,WNS Positive,3/22/17,2016-17
USA,Minnesota,Lake,WNS Suspect,3/15/17,2016-17
USA,Minnesota,St. Louis,WNS Positive,3/15/17,2016-17
USA,Oklahoma,Le Flore,Pd Positive,5/22/18,2017-18
USA,Oklahoma,Sequoyah,Pd Positive,4/17/17,2016-17
USA,Oklahoma,Woodward,Pd Positive,5/22/18,2017-18
USA,Oklahoma,Ottawa,Pd Positive,4/17/17,2016-17
USA,Oklahoma,Adair,WNS Positive,5/22/18,2017-18
USA,Oklahoma,Delaware,WNS Positive,4/17/17,2016-17
USA,Washington,Klickitat,Pd Positive,08/30/2024,2023-24
USA,Washington,Clark,Pd Positive,08/30/2024,2023-24
USA,Washington,Lewis,WNS Positive,08/30/2024,2023-24
USA,Washington,Grays Harbor,Pd Positive,08/30/2024,2023-24
USA,Washington,Grant,Pd Positive,08/30/2024,2023-24
USA,Washington,Island,Pd Positive,08/30/2024,2023-24
USA,Washington,Clallam,Pd Positive,08/30/2024,2023-24
USA,Washington,Skagit,WNS Suspect,09/16/2024,2023-24
USA,Washington,Whatcom,Pd Positive,09/16/2024,2023-24
USA,Washington,Okanogan,Pd Positive,08/30/2024,2023-24
USA,Wyoming,Goshen,WNS Positive,06/10/2022,2021-22
USA,Montana,Daniels,WNS Suspect,07/15/2021,2020-21
USA,Montana,Phillips,WNS Positive,05/25/2022,2021-22
USA,Georgia,Union,Pd Positive,5/9/17,2016-17
USA,Georgia,Catoosa,Pd Positive,5/9/17,2016-17
USA,Utah,San Juan,Pd Positive,09/19/2024,2023-24
USA,Colorado,El Paso,WNS Positive,09/17/2024,2023-24
USA,Colorado,Douglas,WNS Positive,09/17/2024,2023-24
USA,Colorado,Boulder,WNS Positive,03/25/2024,2023-24
USA,Colorado,Larimer,WNS Positive,09/17/2024,2023-24
USA,South Dakota,Hughes,Pd Positive,06/01/2019,2018-19
USA,Wyoming,Teton,Pd Positive,09/16/2024,2023-24
USA,Montana,Cascade,WNS Positive,08/12/2024,2023-24
USA,Mississippi,Franklin,Pd Positive,04/26/2021,2019-20
USA,Mississippi,Claiborne,Pd Positive,09/11/2023,2022-23
USA,Mississippi,Clarke,Pd Positive,09/11/2023,2022-23
USA,Mississippi,Montgomery,WNS Positive,03/10/2022,2021-22
USA,Mississippi,Carroll,Pd Positive,04/26/2021,2019-20
USA,Mississippi,Grenada,Pd Positive,10/17/2022,2021-22
USA,Mississippi,Tishomingo,Pd Positive,10/17/2022,2021-22
USA,Mississippi,Smith,Pd Positive,04/26/2021,2013-14
USA,Mississippi,Jasper,Pd Positive,04/26/2021,2013-14
USA,Mississippi,Neshoba,Pd Positive,04/26/2021,2013-14
USA,Mississippi,Winston,Pd Positive,04/26/2021,2013-14
USA,Georgia,Harris,Pd Positive,09/16/2022,2021-22
USA,Georgia,Twiggs,Pd Positive,09/16/2022,2021-22
USA,Georgia,Monroe,Pd Positive,04/28/2022,2019-20
USA,Georgia,Coweta,Pd Positive,06/24/2024,2023-24
USA,Georgia,Carroll,Pd Positive,04/28/2022,2019-20
USA,Georgia,Clarke,WNS Positive,09/16/2022,2021-22
USA,New Mexico,Lincoln,WNS Positive,06/08/2023,2022-23
USA,Arkansas,Pike,WNS Suspect,04/02/2024,2023-24
USA,New Mexico,De Baca,WNS Positive,06/08/2023,2022-23
USA,Georgia,Habersham,Pd Positive,11/09/2020,2016-17
USA,Arkansas,Johnson,WNS Suspect,09/20/2024,2021-22
USA,California,San Bernardino,Pd Presumed,08/20/2021,2020-21
USA,California,Inyo,Pd Presumed,08/20/2021,2020-21
USA,Colorado,Baca,Pd Positive,05/30/2023,2021-22
USA,Colorado,Otero,WNS Positive,04/26/2023,2022-23
USA,Missouri,Adair,WNS Positive,06/24/2024,2020-21
USA,Colorado,Routt,Pd Positive,05/30/2023,2021-22
USA,California,Shasta,Pd Presumed,08/20/2021,2020-21
USA,Massachusetts,Nantucket,WNS Positive,06/24/2024,2019-20
USA,California,Humboldt,Pd Positive,06/07/2024,2022-23
USA,Wyoming,Sweetwater,Pd Positive,10/16/2023,2022-23
USA,Wyoming,Carbon,WNS Positive,08/03/2022,2021-22
USA,Idaho,Bear Lake,Pd Positive,06/06/2022,2021-22
USA,Wyoming,Platte,Pd Positive,04/08/2022,2021-22
USA,Nebraska,Cherry,WNS Positive,06/23/2021,2020-21
USA,Wyoming,Lincoln,Pd Positive,02/06/2023,2021-22
USA,Wyoming,Converse,Pd Positive,05/12/2023,2021-22
USA,Wyoming,Niobrara,Pd Positive,05/12/2023,2021-22
USA,Wyoming,Fremont,Pd Positive,06/06/2022,2021-22
USA,South Dakota,Pennington,WNS Positive,07/22/2022,2021-22
USA,Minnesota,Rice,Pd Positive,06/24/2024,2018-19
USA,Wyoming,Johnson,Pd Positive,05/12/2023,2021-22
USA,South Dakota,Lawrence,WNS Positive,07/22/2022,2021-22
USA,Wyoming,Sheridan,WNS Positive,07/06/2022,2021-22
USA,Wyoming,Campbell,Pd Positive,05/12/2023,2021-22
USA,Wyoming,Big Horn,Pd Positive,07/06/2022,2021-22
USA,Wyoming,Crook,WNS Positive,06/15/2021,2020-21
USA,South Dakota,Meade,WNS Positive,07/22/2022,2021-22
USA,Montana,Carbon,WNS Positive,03/04/2024,2022-23
USA,Montana,Powder River,Pd Positive,11/07/2022,2021-22
USA,Montana,Big Horn,Pd Positive,11/07/2022,2021-22
USA,Montana,Stillwater,Pd Positive,03/04/2024,2022-23
USA,Montana,Carter,WNS Positive,07/12/2021,2020-21
USA,Montana,Gallatin,Pd Positive,09/15/2022,2021-22
USA,Montana,Jefferson,Pd Positive,03/04/2024,2022-23
USA,Montana,Fallon,WNS Positive,04/27/2021,2020-21
USA,Montana,Golden Valley,Pd Positive,11/07/2022,2021-22
USA,Montana,Meagher,Pd Positive,03/04/2024,2022-23
USA,North Dakota,Burleigh,WNS Suspect,09/29/2021,2020-21
USA,Montana,Judith Basin,Pd Positive,03/04/2024,2022-23
USA,North Dakota,Mercer,WNS Positive,09/29/2021,2020-21
USA,Montana,Garfield,Pd Positive,07/12/2021,2020-21
USA,Montana,Richland,Pd Positive,07/07/2020,2019-20
USA,North Dakota,McKenzie,WNS Positive,09/29/2021,2020-21
USA,Montana,Chouteau,WNS Positive,03/04/2024,2022-23
USA,North Dakota,Williams,WNS Positive,09/29/2021,2020-21
USA,Montana,Valley,Pd Positive,07/12/2021,2020-21
USA,Montana,Blaine,Pd Positive,11/07/2022,2021-22
USA,Montana,Sheridan,Pd Positive,07/07/2020,2019-20
USA,Montana,Hill,Pd Positive,11/07/2022,2021-22
USA,Michigan,Clare,WNS Suspect,11/09/2020,2014-15
USA,Georgia,Gilmer,WNS Positive,11/09/2020,2012-13
USA,Arkansas,Crawford,WNS Positive,04/28/2022,2016-17
USA,Indiana,Jennings,WNS Suspect,11/09/2020,2012-13
USA,Missouri,Pike,WNS Suspect,11/09/2020,2009-10
USA,Massachusetts,Dukes,WNS Positive,3/22/17,2016-17
USA,Iowa,Jasper,Pd Positive,11/09/2020,2015-16
USA,North Carolina,Macon,Pd Positive,03/07/2022,2019-20
USA,North Carolina,Polk,Pd Positive,03/07/2022,2019-20
USA,North Carolina,Gaston,Pd Presumed,5/26/19,2018-19
USA,North Carolina,Montgomery,Pd Positive,5/26/19,2018-19
USA,North Carolina,Rowan,Pd Positive,5/26/19,2018-19
USA,North Carolina,Madison,Pd Positive,5/26/19,2018-19
USA,North Carolina,Caldwell,Pd Positive,03/07/2022,2019-20
USA,North Carolina,Guilford,Pd Positive,03/07/2022,2019-20
USA,North Carolina,Stokes,Pd Positive,6/7/17,2016-17
USA,Texas,Presidio,WNS Suspect,06/11/2024,2023-24
USA,Texas,Brewster,WNS Suspect,06/11/2024,2023-24
USA,Texas,Jeff Davis,WNS Positive,06/11/2024,2023-24
USA,New Mexico,Eddy,WNS Suspect,05/14/2024,2023-24
USA,Oklahoma,Washita,Pd Positive,01/24/2022,2019-20
USA,Oklahoma,Major,Pd Positive,01/24/2022,2019-20
USA,Washington,Yakima,WNS Positive,09/11/2024,2023-24
USA,Washington,Benton,WNS Positive,04/08/2024,2023-24
USA,Washington,Thurston,WNS Positive,04/29/2024,2023-24
USA,Washington,Pierce,WNS Positive,4/19/19,2018-19
USA,Washington,Mason,Pd Positive,09/14/2022,2021-22
USA,Washington,Kitsap,Pd Positive,04/08/2024,2023-24
USA,Washington,Jefferson,WNS Positive,06/23/2023,2022-23
USA,Washington,Snohomish,WNS Positive,09/14/2022,2019-20
USA,Washington,Chelan,WNS Positive,07/31/2021,2020-21
USA,Georgia,Muscogee,Pd Positive,07/30/2021,2020-21
USA,Oklahoma,Woods,WNS Suspect,1/1/19,2018-19
USA,Kansas,Rooks,Pd Positive,1/1/19,2018-19
USA,Pennsylvania,Warren,WNS Positive,1/1/12,2011-12
USA,Pennsylvania,Tioga,WNS Positive,1/1/10,2009-10
USA,Illinois,Carroll,WNS Positive,1/1/15,2014-15
USA,New York,Cattaraugus,WNS Suspect,1/1/13,2012-13
USA,Wisconsin,Green,WNS Positive,1/1/16,2015-16
USA,New York,Livingston,WNS Positive,1/1/10,2009-10
USA,New York,Erie,WNS Positive,1/1/10,2009-10
USA,New York,Onondaga,WNS Positive,1/1/09,2008-09
USA,Wisconsin,Dane,WNS Positive,1/1/15,2014-15
USA,New York,Lewis,WNS Suspect,1/1/09,2008-09
USA,Wisconsin,Manitowoc,WNS Suspect,1/1/16,2015-16
USA,New York,Jefferson,WNS Positive,1/1/08,2007-08
USA,Michigan,Manistee,WNS Positive,1/1/15,2014-15
USA,Michigan,Alpena,WNS Positive,1/1/14,2013-14
USA,Wisconsin,Door,WNS Positive,1/1/15,2014-15
USA,Michigan,Delta,WNS Positive,1/1/15,2014-15
USA,Michigan,Mackinac,WNS Positive,1/1/14,2013-14
USA,Michigan,Dickinson,WNS Positive,1/1/14,2013-14
USA,Michigan,Alger,WNS Positive,1/1/15,2014-15
USA,Michigan,Gogebic,WNS Positive,1/1/16,2015-16
USA,Michigan,Marquette,WNS Positive,1/1/15,2014-15
USA,Michigan,Ontonagon,WNS Positive,1/1/14,2013-14
USA,Michigan,Houghton,WNS Positive,1/1/15,2014-15
USA,Michigan,Keweenaw,WNS Positive,1/1/14,2013-14
USA,Alabama,Calhoun,Pd Positive,1/1/16,2015-16
USA,Georgia,Paulding,Pd Positive,1/1/14,2013-14
USA,Georgia,Polk,WNS Positive,1/1/14,2013-14
USA,South Carolina,Richland,WNS Positive,1/1/14,2013-14
USA,Georgia,Bartow,WNS Suspect,1/1/14,2013-14
USA,Georgia,Pickens,WNS Positive,1/1/14,2013-14
USA,Alabama,Franklin,WNS Positive,1/1/16,2015-16
USA,Georgia,Chattooga,WNS Suspect,1/1/16,2015-16
USA,Georgia,Floyd,WNS Suspect,1/1/15,2014-15
USA,Alabama,Marshall,WNS Positive,1/1/15,2014-15
USA,Georgia,Dawson,WNS Suspect,1/1/16,2015-16
USA,Alabama,Morgan,WNS Positive,1/1/14,2013-14
USA,Arkansas,Polk,Pd Positive,1/1/15,2014-15
USA,Arkansas,Garland,Pd Positive,1/1/15,2014-15
USA,Alabama,Lawrence,WNS Suspect,1/1/14,2013-14
USA,Alabama,DeKalb,WNS Positive,1/1/16,2015-16
USA,Alabama,Colbert,Pd Positive,1/1/15,2014-15
USA,Georgia,Walker,WNS Positive,1/1/13,2012-13
USA,Georgia,Dade,WNS Positive,1/1/13,2012-13
USA,Alabama,Jackson,Pd Positive,1/1/12,2011-12
USA,Georgia,Rabun,WNS Positive,1/1/14,2013-14
USA,Alabama,Limestone,WNS Positive,1/1/15,2014-15
USA,Alabama,Lauderdale,Pd Positive,1/1/12,2011-12
USA,South Carolina,Oconee,WNS Positive,1/1/14,2013-14
USA,South Carolina,Pickens,WNS Positive,1/1/13,2012-13
USA,Tennessee,Polk,WNS Positive,1/1/14,2013-14
USA,North Carolina,Cherokee,WNS Suspect,1/1/14,2013-14
USA,Tennessee,Marion,WNS Positive,1/1/13,2012-13
USA,Tennessee,Franklin,WNS Positive,1/1/12,2011-12
USA,North Carolina,Transylvania,WNS Positive,1/1/11,2010-11
USA,Tennessee,Giles,WNS Positive,1/1/15,2014-15
USA,Tennessee,Lawrence,WNS Positive,1/1/13,2012-13
USA,Tennessee,Hamilton,WNS Positive,1/1/12,2011-12
USA,Tennessee,Wayne,WNS Positive,1/1/14,2013-14
USA,North Carolina,Stanly,WNS Suspect,1/1/15,2014-15
USA,North Carolina,Jackson,WNS Positive,1/1/14,2013-14
USA,Tennessee,Grundy,WNS Positive,1/1/13,2012-13
USA,Tennessee,Sequatchie,WNS Positive,1/1/13,2012-13
USA,North Carolina,Rutherford,WNS Positive,1/1/13,2012-13
USA,Tennessee,Lewis,WNS Positive,1/1/13,2012-13
USA,North Carolina,Swain,WNS Suspect,1/1/13,2012-13
USA,Tennessee,Bedford,WNS Positive,1/1/14,2013-14
USA,Tennessee,Coffee,WNS Positive,1/1/15,2014-15
USA,Tennessee,Marshall,WNS Positive,1/1/15,2014-15
